Dấu thời gian,Anh/chị hiện đang phụ trách lớp học có quy mô bao nhiêu học viên? ,Vai trò của anh/chị là gì? ,Anh/chị thường sử dụng nguồn thông tin nào để đánh giá mức độ hiểu bài của học viên? (Có thể chọn nhiều đáp án)  ,Anh/chị có gặp khó khăn trong việc xác định học viên đang gặp vấn đề ở đâu không? ,"Theo anh/chị, nguyên nhân lớn nhất gây khó khăn là gì? ","Nếu có một công cụ tự động phân tích chatlog và chỉ ra 3–5 lỗ hổng kiến thức lớn nhất của lớp, anh/chị có sử dụng không?  ",Anh/chị muốn công cụ cung cấp thông tin nào nhất? (Chọn tối đa 3)  ,  Anh/chị muốn nhận báo cáo dưới dạng nào? Anh/chị muốn nhận báo cáo dưới dạng nào?   
30/07/2026 11:47:21,Dưới 50 học viên,Mentor,Bài tập,Thỉnh thoảng,Không đủ thời gian đọc,Có,Những chủ đề học viên hỏi nhiều nhất,Biểu đồ
30/07/2026 11:48:16,200–500 học viên,Trợ giảng (TA),"Câu hỏi gửi cho AI Tutor, Khảo sát",Thỉnh thoảng,"Nội dung câu hỏi quá đa dạng, Khó tổng hợp thông tin",Có,"Những chủ đề học viên hỏi nhiều nhất, Mức độ khó của từng chủ đề","Heatmap, Biểu đồ"
30/07/2026 11:48:45,Dưới 50 học viên,Trợ giảng (TA),"Chat lớp, Bài tập",Thường xuyên,"Quá nhiều tin nhắn, Nội dung câu hỏi quá đa dạng",Có,"Những chủ đề học viên hỏi nhiều nhất, Mức độ khó của từng chủ đề","Heatmap, Biểu đồ, Báo cáo văn bản, Email tổng hợp"
30/07/2026 11:52:39,Dưới 50 học viên,Trợ giảng (TA),"Bài tập, Buổi hỏi đáp trực tiếp",Thường xuyên,Khác: __________,Có,Nhóm học viên đang gặp khó khăn,"Heatmap, Biểu đồ, Dashboard"
30/07/2026 11:54:07,200–500 học viên,TA Leader,"Bài tập, Buổi hỏi đáp trực tiếp",Thường xuyên,"Quá nhiều tin nhắn, Không đủ thời gian đọc, Khó tổng hợp thông tin",Có,"Những chủ đề học viên hỏi nhiều nhất, Những lỗi phổ biến nhất, Mức độ khó của từng chủ đề, Nhóm học viên đang gặp khó khăn, Đề xuất nội dung cần giảng lại","Biểu đồ, Dashboard, Báo cáo văn bản"
30/07/2026 11:54:18,"Dưới 50 học viên, 50–200 học viên",Trợ giảng (TA),"Chat lớp, Bài tập, Buổi hỏi đáp trực tiếp",Thường xuyên,"Nội dung câu hỏi quá đa dạng, Không đủ thời gian đọc",Có,"Những lỗi phổ biến nhất, Nhóm học viên đang gặp khó khăn","Biểu đồ, Dashboard, Báo cáo văn bản"
30/07/2026 11:54:24,Dưới 50 học viên,Trợ giảng (TA),"Chat lớp, Câu hỏi gửi cho AI Tutor, Bài tập, Buổi hỏi đáp trực tiếp","Luôn luôn, Thường xuyên, Thỉnh thoảng, Hiếm khi","Quá nhiều tin nhắn, Nội dung câu hỏi quá đa dạng, Không đủ thời gian đọc, Khó tổng hợp thông tin",Không,"Những chủ đề học viên hỏi nhiều nhất, Mức độ khó của từng chủ đề, Nhóm học viên đang gặp khó khăn","Heatmap, Biểu đồ, Dashboard, Báo cáo văn bản, Email tổng hợp"
30/07/2026 11:56:06,50–200 học viên,Trợ giảng (TA),"Câu hỏi gửi cho AI Tutor, Bài tập, Buổi hỏi đáp trực tiếp, Khảo sát",Thỉnh thoảng,"Nội dung câu hỏi quá đa dạng, Khó tổng hợp thông tin",Có,"Những chủ đề học viên hỏi nhiều nhất, Những lỗi phổ biến nhất, Nhóm học viên đang gặp khó khăn","Biểu đồ, Báo cáo văn bản"
30/07/2026 11:59:12,Trên 500 học viên,Giảng viên chính,"Chat lớp, Câu hỏi gửi cho AI Tutor, Bài tập","Luôn luôn, Thường xuyên",Quá nhiều tin nhắn,Có,"Những chủ đề học viên hỏi nhiều nhất, Mức độ khó của từng chủ đề","Dashboard, Báo cáo văn bản"
30/07/2026 11:59:59,50–200 học viên,Trợ giảng (TA),"Chat lớp, Buổi hỏi đáp trực tiếp",Thường xuyên,"Nội dung câu hỏi quá đa dạng, Không đủ thời gian đọc, Khó tổng hợp thông tin",Có,"Những chủ đề học viên hỏi nhiều nhất, Mức độ khó của từng chủ đề, Nhóm học viên đang gặp khó khăn","Heatmap, Biểu đồ, Dashboard"
30/07/2026 16:56:53,200–500 học viên,"Trợ giảng (TA), TA Leader","Bài tập, Buổi hỏi đáp trực tiếp, Khảo sát",Thường xuyên,"Nội dung câu hỏi quá đa dạng, Không đủ thời gian đọc, Khó tổng hợp thông tin",Có,"Những chủ đề học viên hỏi nhiều nhất, Những lỗi phổ biến nhất, Mức độ khó của từng chủ đề, Nhóm học viên đang gặp khó khăn","Dashboard, Báo cáo văn bản"
