Dấu thời gian,Bạn đang học khóa học nào? ,  Bạn đã sử dụng VLearn trong bao lâu?  ,Bạn sử dụng VLearn với mục đích gì? ,"Trong quá trình học trên VLearn, bạn thường gặp khó khăn nào? (Có thể chọn nhiều đáp án) ",Bạn thường làm gì khi gặp khó khăn? ,Bạn có thường xuyên nhận được câu trả lời hoặc hỗ trợ đúng lúc không? ,"Sau mỗi buổi học, bạn có thường xuyên còn nội dung chưa hiểu không ?",Bạn có sẵn sàng sử dụng các tính năng AI mới trên VLearn không?  
30/07/2026 11:32:25,3,1–4 tuần,"Ôn tập, Làm bài tập","Khó làm bài tập, Không biết lỗi sai ở đâu, Quên deadline","Hỏi TA, Hỏi bạn bè","Thường xuyên, Thỉnh thoảng","Thường xuyên, Thỉnh thoảng",Có
30/07/2026 11:32:39,K3,Dưới 1 tuần,Ôn tập,Thiếu người hỗ trợ,"Hỏi bạn bè, Tự tìm kiếm trên Internet",Hiếm khi,Thỉnh thoảng,Cần thử nghiệm trước
30/07/2026 11:32:49,3,Dưới 1 tuần,"Học theo khóa học, Ôn tập","Không hiểu bài giảng, Không biết lỗi sai ở đâu, Khó tìm tài liệu","Hỏi AI Tutor, Hỏi bạn bè, Tự tìm kiếm trên Internet, Xem lại bài giảng",Thỉnh thoảng,Thỉnh thoảng,Có
30/07/2026 11:33:59,Khoá 3,Dưới 1 tuần,"Học theo khóa học, Ôn tập","Không hiểu bài giảng, Khó làm bài tập",Hỏi AI Tutor,Luôn luôn,Luôn luôn,Có
30/07/2026 11:34:42,123,Dưới 1 tuần,Học theo khóa học,Khác: ______,Tự tìm kiếm trên Internet,Hiếm khi,Thỉnh thoảng,Cần thử nghiệm trước
30/07/2026 11:39:36,K3,1–4 tuần,"Học theo khóa học, Ôn tập","Không hiểu bài giảng, Khó tìm tài liệu","Hỏi AI Tutor, Hỏi bạn bè, Tự tìm kiếm trên Internet, Xem lại bài giảng","Thường xuyên, Thỉnh thoảng",Thường xuyên,Cần thử nghiệm trước
30/07/2026 11:41:39,Khóa 3,Dưới 1 tuần,Học theo khóa học,Không biết bắt đầu từ đâu,Hỏi AI Tutor,Thường xuyên,Thường xuyên,Cần thử nghiệm trước
30/07/2026 11:42:38,Khoá 3,Dưới 1 tuần,Học theo khóa học,Khác: ______,Hỏi AI Tutor,"Luôn luôn, Thường xuyên",Hiếm khi,Cần thử nghiệm trước
30/07/2026 12:12:30,Khoá 3,Dưới 1 tuần,Làm bài tập,Quên deadline,Hỏi AI Tutor,Luôn luôn,Thỉnh thoảng,Có
30/07/2026 12:12:35,Khoá 3,Dưới 1 tuần,Học theo khóa học,"Không biết bắt đầu từ đâu, Khó tìm tài liệu, Thiếu người hỗ trợ","Hỏi bạn bè, Tự tìm kiếm trên Internet, Xem lại bài giảng",Thỉnh thoảng,Thỉnh thoảng,Không
30/07/2026 14:48:41,K3,Dưới 1 tuần,Khác,Quên deadline,Hỏi AI Tutor,Thỉnh thoảng,Thường xuyên,Không
