sample_id,source,is_synthetic,slide_filename,page_number,topic_hint,intent,user_id,conversation_id,question,tutor_answer,created_at
SYN-SLIDE-0001,synthetic_slide,true,d1-slide-hackathon.pdf,1,AI LLM Foundation Bạn đang dùng AI mỗi ngày nhưng thực sự bên trong,explain,SYN-U001,SYN-C001,Bạn giải thích ngắn gọn nội dung chính về “AI LLM Foundation Bạn đang dùng AI mỗi ngày nhưng thực sự bên trong” được không?,Trang 1 trình bày trọng tâm về AI LLM Foundation Bạn đang dùng AI mỗi ngày nhưng thực sự bên trong. Dựa trên slide: AI IN ACTION Day 1 AI & LLM Foundation Bạn đang dùng AI mỗi ngày — nhưng thực sự bên trong nó đang làm gì? AI IN ACTION - HACKATHON,2026-07-29T01:03:00+00:00
SYN-SLIDE-0002,synthetic_slide,true,d1-slide-hackathon.pdf,1,AI LLM Foundation Bạn đang dùng AI mỗi ngày nhưng thực sự bên trong,why,SYN-U002,SYN-C001,Vì sao phần “AI LLM Foundation Bạn đang dùng AI mỗi ngày nhưng thực sự bên trong” quan trọng khi xây dựng sản phẩm AI?,Ý nghĩa của phần này nằm ở cách nó kết nối kiến thức với quyết định sản phẩm. Slide trang 1 nêu: AI IN ACTION Day 1 AI & LLM Foundation Bạn đang dùng AI mỗi ngày — nhưng thực sự bên trong nó đang làm gì? AI IN ACTION - HACKATHON,2026-07-29T01:06:00+00:00
SYN-SLIDE-0003,synthetic_slide,true,d1-slide-hackathon.pdf,1,AI LLM Foundation Bạn đang dùng AI mỗi ngày nhưng thực sự bên trong,apply,SYN-U003,SYN-C001,Cho mình một cách áp dụng hoặc ghi nhớ phần “AI LLM Foundation Bạn đang dùng AI mỗi ngày nhưng thực sự bên trong”.,"Cách ghi nhớ là tách khái niệm, cơ chế và tình huống áp dụng. Nội dung gốc ở trang 1: AI IN ACTION Day 1 AI & LLM Foundation Bạn đang dùng AI mỗi ngày — nhưng thực sự bên trong nó đang làm gì? AI IN ACTION - HACKATHON",2026-07-29T01:09:00+00:00
SYN-SLIDE-0004,synthetic_slide,true,d1-slide-hackathon.pdf,2,Agenda Bức tranh AI các tầng của AI Lịch sử AI 70 năm Bên,explain,SYN-U004,SYN-C002,Bạn giải thích ngắn gọn nội dung chính về “Agenda Bức tranh AI các tầng của AI Lịch sử AI 70 năm Bên” được không?,"Trang 2 trình bày trọng tâm về Agenda Bức tranh AI các tầng của AI Lịch sử AI 70 năm Bên. Dựa trên slide: AI IN ACTION Day 1 Agenda • Bức tranh AI & các tầng của AI • Lịch sử AI 70 năm • Bên trong LLM: cơ chế vận hành • Từ LLM đến AI Agent • Landscape: model hôm nay & cuộc đua hiện tại • Chọn model & chi phí token • Gọi API lần đầu • Tổng kết — những ý để mang về AI & LLM Foundation Từ ""nghe AI"" đến ""gọi AI"" trong một ngày AI IN ACTION - HACKATHON",2026-07-29T01:12:00+00:00
SYN-SLIDE-0005,synthetic_slide,true,d1-slide-hackathon.pdf,2,Agenda Bức tranh AI các tầng của AI Lịch sử AI 70 năm Bên,why,SYN-U005,SYN-C002,Vì sao phần “Agenda Bức tranh AI các tầng của AI Lịch sử AI 70 năm Bên” quan trọng khi xây dựng sản phẩm AI?,"Ý nghĩa của phần này nằm ở cách nó kết nối kiến thức với quyết định sản phẩm. Slide trang 2 nêu: AI IN ACTION Day 1 Agenda • Bức tranh AI & các tầng của AI • Lịch sử AI 70 năm • Bên trong LLM: cơ chế vận hành • Từ LLM đến AI Agent • Landscape: model hôm nay & cuộc đua hiện tại • Chọn model & chi phí token • Gọi API lần đầu • Tổng kết — những ý để mang về AI & LLM Foundation Từ ""nghe AI"" đến ""gọi AI"" trong một ngày AI IN ACTION - HACKATHON",2026-07-29T01:15:00+00:00
SYN-SLIDE-0006,synthetic_slide,true,d1-slide-hackathon.pdf,2,Agenda Bức tranh AI các tầng của AI Lịch sử AI 70 năm Bên,apply,SYN-U006,SYN-C002,Cho mình một cách áp dụng hoặc ghi nhớ phần “Agenda Bức tranh AI các tầng của AI Lịch sử AI 70 năm Bên”.,"Cách ghi nhớ là tách khái niệm, cơ chế và tình huống áp dụng. Nội dung gốc ở trang 2: AI IN ACTION Day 1 Agenda • Bức tranh AI & các tầng của AI • Lịch sử AI 70 năm • Bên trong LLM: cơ chế vận hành • Từ LLM đến AI Agent • Landscape: model hôm nay & cuộc đua hiện tại • Chọn model & chi phí token • Gọi API lần đầu • Tổng kết — những ý để mang về AI & LLM Foundation Từ ""nghe AI"" đến ""gọi AI"" trong một ngày AI IN ACTION - HACKATHON",2026-07-29T01:18:00+00:00
SYN-SLIDE-0007,synthetic_slide,true,d1-slide-hackathon.pdf,3,AI ML Deep Learning GenAI LLM nằm ở đâu trong cùng một hệ AI,explain,SYN-U007,SYN-C003,Bạn giải thích ngắn gọn nội dung chính về “AI ML Deep Learning GenAI LLM nằm ở đâu trong cùng một hệ AI” được không?,"Trang 3 trình bày trọng tâm về AI ML Deep Learning GenAI LLM nằm ở đâu trong cùng một hệ AI. Dựa trên slide: AI, ML, Deep Learning, GenAI, LLM — nằm ở đâu trong cùng một hệ? AI — chiếc ô lớn nhất: mọi hệ thống có yếu tố “thông minhˮ. Machine learning — học từ dữ liệu thay vì viết luật tay. Deep learning — mạng nơ-ron nhiều tầng tự học đặc trưng. Generative AI — sinh nội dung mới: văn bản, ảnh, code. LLM — model nền chuyên ngôn ngữ, tim của làn sóng hiện nay. ARTIFICIAL INTELLIGENCE MACHINE LEARNING DEEP LEARNING GENERATIVE AI LLM GPT · Claude · Kimi kể cả hệ luật tay, robot… lọc spam · gợi ý phim nhận diện ảnh · giọng nói",2026-07-29T01:21:00+00:00
SYN-SLIDE-0008,synthetic_slide,true,d1-slide-hackathon.pdf,3,AI ML Deep Learning GenAI LLM nằm ở đâu trong cùng một hệ AI,why,SYN-U008,SYN-C003,Vì sao phần “AI ML Deep Learning GenAI LLM nằm ở đâu trong cùng một hệ AI” quan trọng khi xây dựng sản phẩm AI?,"Ý nghĩa của phần này nằm ở cách nó kết nối kiến thức với quyết định sản phẩm. Slide trang 3 nêu: AI, ML, Deep Learning, GenAI, LLM — nằm ở đâu trong cùng một hệ? AI — chiếc ô lớn nhất: mọi hệ thống có yếu tố “thông minhˮ. Machine learning — học từ dữ liệu thay vì viết luật tay. Deep learning — mạng nơ-ron nhiều tầng tự học đặc trưng. Generative AI — sinh nội dung mới: văn bản, ảnh, code. LLM — model nền chuyên ngôn ngữ, tim của làn sóng hiện nay. ARTIFICIAL INTELLIGENCE MACHINE LEARNING DEEP LEARNING GENERATIVE AI LLM GPT · Claude · Kimi kể cả hệ luật tay, robot… lọc spam · gợi ý phim nhận ",2026-07-29T01:24:00+00:00
SYN-SLIDE-0009,synthetic_slide,true,d1-slide-hackathon.pdf,3,AI ML Deep Learning GenAI LLM nằm ở đâu trong cùng một hệ AI,apply,SYN-U009,SYN-C003,Cho mình một cách áp dụng hoặc ghi nhớ phần “AI ML Deep Learning GenAI LLM nằm ở đâu trong cùng một hệ AI”.,"Cách ghi nhớ là tách khái niệm, cơ chế và tình huống áp dụng. Nội dung gốc ở trang 3: AI, ML, Deep Learning, GenAI, LLM — nằm ở đâu trong cùng một hệ? AI — chiếc ô lớn nhất: mọi hệ thống có yếu tố “thông minhˮ. Machine learning — học từ dữ liệu thay vì viết luật tay. Deep learning — mạng nơ-ron nhiều tầng tự học đặc trưng. Generative AI — sinh nội dung mới: văn bản, ảnh, code. LLM — model nền chuyên ngôn ngữ, tim của làn sóng hiện nay. ARTIFICIAL INTELLIGENCE MACHINE LEARNING DEEP LEARNING GENERATIVE AI LLM GPT · Claude · Kimi kể cả hệ luật tay, robot… lọc spam · gợi ý phim nhận ",2026-07-29T01:27:00+00:00
SYN-SLIDE-0010,synthetic_slide,true,d1-slide-hackathon.pdf,4,Discriminative AI Giỏi phân loại dự đoán lọc spam phát hiện gian lận nhận,explain,SYN-U010,SYN-C004,Bạn giải thích ngắn gọn nội dung chính về “Discriminative AI Giỏi phân loại dự đoán lọc spam phát hiện gian lận nhận” được không?,"Trang 4 trình bày trọng tâm về Discriminative AI Giỏi phân loại dự đoán lọc spam phát hiện gian lận nhận. Dựa trên slide: Discriminative AI Giỏi phân loại, dự đoán: lọc spam, phát hiện gian lận, nhận diện ảnh. Input → một nhãn, một con số Generative AI Sinh ra thứ mới: văn bản, ảnh, code. ChatGPT, Claude, Midjourney. Prompt → nội dung mới Agentic AI Nhận mục tiêu rồi tự làm nhiều bước: lập kế hoạch, dùng công cụ, hành động. Goal → Plan → Action Ba nhóm AI chính: phân loại · sinh nội dung · hành động LLM là engine chung của cả Generative lẫn Agentic — cuối buổi sáng mình sẽ thấy agent khác LLM ở đâu Hành trình khóa học: LLM Foundation ",2026-07-29T01:30:00+00:00
SYN-SLIDE-0011,synthetic_slide,true,d1-slide-hackathon.pdf,4,Discriminative AI Giỏi phân loại dự đoán lọc spam phát hiện gian lận nhận,why,SYN-U011,SYN-C004,Vì sao phần “Discriminative AI Giỏi phân loại dự đoán lọc spam phát hiện gian lận nhận” quan trọng khi xây dựng sản phẩm AI?,"Ý nghĩa của phần này nằm ở cách nó kết nối kiến thức với quyết định sản phẩm. Slide trang 4 nêu: Discriminative AI Giỏi phân loại, dự đoán: lọc spam, phát hiện gian lận, nhận diện ảnh. Input → một nhãn, một con số Generative AI Sinh ra thứ mới: văn bản, ảnh, code. ChatGPT, Claude, Midjourney. Prompt → nội dung mới Agentic AI Nhận mục tiêu rồi tự làm nhiều bước: lập kế hoạch, dùng công cụ, hành động. Goal → Plan → Action Ba nhóm AI chính: phân loại · sinh nội dung · hành động LLM là engine chung của cả Generative lẫn Agentic — cuối buổi sáng mình sẽ thấy agent khác LLM ở đâu Hành trình khóa ",2026-07-29T01:33:00+00:00
SYN-SLIDE-0012,synthetic_slide,true,d1-slide-hackathon.pdf,4,Discriminative AI Giỏi phân loại dự đoán lọc spam phát hiện gian lận nhận,apply,SYN-U012,SYN-C004,Cho mình một cách áp dụng hoặc ghi nhớ phần “Discriminative AI Giỏi phân loại dự đoán lọc spam phát hiện gian lận nhận”.,"Cách ghi nhớ là tách khái niệm, cơ chế và tình huống áp dụng. Nội dung gốc ở trang 4: Discriminative AI Giỏi phân loại, dự đoán: lọc spam, phát hiện gian lận, nhận diện ảnh. Input → một nhãn, một con số Generative AI Sinh ra thứ mới: văn bản, ảnh, code. ChatGPT, Claude, Midjourney. Prompt → nội dung mới Agentic AI Nhận mục tiêu rồi tự làm nhiều bước: lập kế hoạch, dùng công cụ, hành động. Goal → Plan → Action Ba nhóm AI chính: phân loại · sinh nội dung · hành động LLM là engine chung của cả Generative lẫn Agentic — cuối buổi sáng mình sẽ thấy agent khác LLM ở đâu Hành trình khóa ",2026-07-29T01:36:00+00:00
SYN-SLIDE-0013,synthetic_slide,true,d1-slide-hackathon.pdf,5,Lịch sử AI 70 năm Khai sinh lời hứa đầu tiên 2 lần mùa,explain,SYN-U013,SYN-C005,Bạn giải thích ngắn gọn nội dung chính về “Lịch sử AI 70 năm Khai sinh lời hứa đầu tiên 2 lần mùa” được không?,"Trang 5 trình bày trọng tâm về Lịch sử AI 70 năm Khai sinh lời hứa đầu tiên 2 lần mùa. Dựa trên slide: Lịch sử AI 70 năm Khai sinh, lời hứa đầu tiên 2 lần mùa đông, cách tiếp cận chạm trần Từ model đơn lẻ sang system có khả năng hành động như agent AI IN ACTION - HACKATHON",2026-07-29T01:39:00+00:00
SYN-SLIDE-0014,synthetic_slide,true,d1-slide-hackathon.pdf,5,Lịch sử AI 70 năm Khai sinh lời hứa đầu tiên 2 lần mùa,why,SYN-U014,SYN-C005,Vì sao phần “Lịch sử AI 70 năm Khai sinh lời hứa đầu tiên 2 lần mùa” quan trọng khi xây dựng sản phẩm AI?,"Ý nghĩa của phần này nằm ở cách nó kết nối kiến thức với quyết định sản phẩm. Slide trang 5 nêu: Lịch sử AI 70 năm Khai sinh, lời hứa đầu tiên 2 lần mùa đông, cách tiếp cận chạm trần Từ model đơn lẻ sang system có khả năng hành động như agent AI IN ACTION - HACKATHON",2026-07-29T01:42:00+00:00
SYN-SLIDE-0015,synthetic_slide,true,d1-slide-hackathon.pdf,5,Lịch sử AI 70 năm Khai sinh lời hứa đầu tiên 2 lần mùa,apply,SYN-U015,SYN-C005,Cho mình một cách áp dụng hoặc ghi nhớ phần “Lịch sử AI 70 năm Khai sinh lời hứa đầu tiên 2 lần mùa”.,"Cách ghi nhớ là tách khái niệm, cơ chế và tình huống áp dụng. Nội dung gốc ở trang 5: Lịch sử AI 70 năm Khai sinh, lời hứa đầu tiên 2 lần mùa đông, cách tiếp cận chạm trần Từ model đơn lẻ sang system có khả năng hành động như agent AI IN ACTION - HACKATHON",2026-07-29T01:45:00+00:00
SYN-SLIDE-0016,synthetic_slide,true,d1-slide-hackathon.pdf,6,1980 Hệ chuyên gia expert system Đặt lại vấn đề Nếu AI chỉ giải,explain,SYN-U016,SYN-C006,Bạn giải thích ngắn gọn nội dung chính về “1980 Hệ chuyên gia expert system Đặt lại vấn đề Nếu AI chỉ giải” được không?,"Trang 6 trình bày trọng tâm về 1980 Hệ chuyên gia expert system Đặt lại vấn đề Nếu AI chỉ giải. Dựa trên slide: 1980: Hệ chuyên gia (expert system) Đặt lại vấn đề: ""Nếu AI chỉ giải thật tốt một loại bài toán chuyên môn hẹp thì sao?"" → Sự ra đời của expert systems AI đổi chiến lược: thôi theo đuổi trí tuệ tổng quát và tập trung giải thật tốt một miền hẹp bằng cách mã hóa tri thức chuyên gia thành luật AI IN ACTION - HACKATHON",2026-07-29T01:48:00+00:00
SYN-SLIDE-0017,synthetic_slide,true,d1-slide-hackathon.pdf,6,1980 Hệ chuyên gia expert system Đặt lại vấn đề Nếu AI chỉ giải,why,SYN-U017,SYN-C006,Vì sao phần “1980 Hệ chuyên gia expert system Đặt lại vấn đề Nếu AI chỉ giải” quan trọng khi xây dựng sản phẩm AI?,"Ý nghĩa của phần này nằm ở cách nó kết nối kiến thức với quyết định sản phẩm. Slide trang 6 nêu: 1980: Hệ chuyên gia (expert system) Đặt lại vấn đề: ""Nếu AI chỉ giải thật tốt một loại bài toán chuyên môn hẹp thì sao?"" → Sự ra đời của expert systems AI đổi chiến lược: thôi theo đuổi trí tuệ tổng quát và tập trung giải thật tốt một miền hẹp bằng cách mã hóa tri thức chuyên gia thành luật AI IN ACTION - HACKATHON",2026-07-29T01:51:00+00:00
SYN-SLIDE-0018,synthetic_slide,true,d1-slide-hackathon.pdf,6,1980 Hệ chuyên gia expert system Đặt lại vấn đề Nếu AI chỉ giải,apply,SYN-U018,SYN-C006,Cho mình một cách áp dụng hoặc ghi nhớ phần “1980 Hệ chuyên gia expert system Đặt lại vấn đề Nếu AI chỉ giải”.,"Cách ghi nhớ là tách khái niệm, cơ chế và tình huống áp dụng. Nội dung gốc ở trang 6: 1980: Hệ chuyên gia (expert system) Đặt lại vấn đề: ""Nếu AI chỉ giải thật tốt một loại bài toán chuyên môn hẹp thì sao?"" → Sự ra đời của expert systems AI đổi chiến lược: thôi theo đuổi trí tuệ tổng quát và tập trung giải thật tốt một miền hẹp bằng cách mã hóa tri thức chuyên gia thành luật AI IN ACTION - HACKATHON",2026-07-29T01:54:00+00:00
SYN-SLIDE-0019,synthetic_slide,true,d1-slide-hackathon.pdf,7,2009 Fei-Fei Li và ImageNet cuộc cách mạng của dữ liệu Trong khi cả,explain,SYN-U019,SYN-C007,Bạn giải thích ngắn gọn nội dung chính về “2009 Fei-Fei Li và ImageNet cuộc cách mạng của dữ liệu Trong khi cả” được không?,"Trang 7 trình bày trọng tâm về 2009 Fei-Fei Li và ImageNet cuộc cách mạng của dữ liệu Trong khi cả. Dựa trên slide: 2009: Fei-Fei Li và ImageNet — cuộc cách mạng của dữ liệu Trong khi cả ngành chạy theo thuật toán thông minh hơn, Fei-Fei Li chọn con đường khác: xây bộ dữ liệu lớn hơn — 14 triệu ảnh được gán nhãn tay, hơn 20.000 loại vật. Ba năm sau, chính bộ dữ liệu đó là sân khấu cho cú nổ AlexNet 2012 → bài học định hình cả kỷ nguyên: đôi khi dữ liệu tốt hơn đánh bại thuật toán khôn hơn.Deng, J. et al. 2009 , “ImageNet: A Large-Scale Hierarchical Image Databaseˮ, CVPR — doi.org/10.1109/CVPR.2009.5206848 · Fei-Fei Li, TED 2015 ",2026-07-29T01:57:00+00:00
SYN-SLIDE-0020,synthetic_slide,true,d1-slide-hackathon.pdf,7,2009 Fei-Fei Li và ImageNet cuộc cách mạng của dữ liệu Trong khi cả,why,SYN-U020,SYN-C007,Vì sao phần “2009 Fei-Fei Li và ImageNet cuộc cách mạng của dữ liệu Trong khi cả” quan trọng khi xây dựng sản phẩm AI?,"Ý nghĩa của phần này nằm ở cách nó kết nối kiến thức với quyết định sản phẩm. Slide trang 7 nêu: 2009: Fei-Fei Li và ImageNet — cuộc cách mạng của dữ liệu Trong khi cả ngành chạy theo thuật toán thông minh hơn, Fei-Fei Li chọn con đường khác: xây bộ dữ liệu lớn hơn — 14 triệu ảnh được gán nhãn tay, hơn 20.000 loại vật. Ba năm sau, chính bộ dữ liệu đó là sân khấu cho cú nổ AlexNet 2012 → bài học định hình cả kỷ nguyên: đôi khi dữ liệu tốt hơn đánh bại thuật toán khôn hơn.Deng, J. et al. 2009 , “ImageNet: A Large-Scale Hierarchical Image Databaseˮ, CVPR — doi.org/10.1109/CVPR.2009.5206848 · F",2026-07-29T02:00:00+00:00
SYN-SLIDE-0021,synthetic_slide,true,d1-slide-hackathon.pdf,7,2009 Fei-Fei Li và ImageNet cuộc cách mạng của dữ liệu Trong khi cả,apply,SYN-U021,SYN-C007,Cho mình một cách áp dụng hoặc ghi nhớ phần “2009 Fei-Fei Li và ImageNet cuộc cách mạng của dữ liệu Trong khi cả”.,"Cách ghi nhớ là tách khái niệm, cơ chế và tình huống áp dụng. Nội dung gốc ở trang 7: 2009: Fei-Fei Li và ImageNet — cuộc cách mạng của dữ liệu Trong khi cả ngành chạy theo thuật toán thông minh hơn, Fei-Fei Li chọn con đường khác: xây bộ dữ liệu lớn hơn — 14 triệu ảnh được gán nhãn tay, hơn 20.000 loại vật. Ba năm sau, chính bộ dữ liệu đó là sân khấu cho cú nổ AlexNet 2012 → bài học định hình cả kỷ nguyên: đôi khi dữ liệu tốt hơn đánh bại thuật toán khôn hơn.Deng, J. et al. 2009 , “ImageNet: A Large-Scale Hierarchical Image Databaseˮ, CVPR — doi.org/10.1109/CVPR.2009.5206848 · F",2026-07-29T02:03:00+00:00
SYN-SLIDE-0022,synthetic_slide,true,d1-slide-hackathon.pdf,8,2017 Transformer Transformer là bước ngoặt vì nó cho mô hình hiểu ngôn ngữ,explain,SYN-U022,SYN-C008,Bạn giải thích ngắn gọn nội dung chính về “2017 Transformer Transformer là bước ngoặt vì nó cho mô hình hiểu ngôn ngữ” được không?,"Trang 8 trình bày trọng tâm về 2017 Transformer Transformer là bước ngoặt vì nó cho mô hình hiểu ngôn ngữ. Dựa trên slide: 2017: Transformer Transformer là bước ngoặt vì nó cho mô hình hiểu ngôn ngữ theo cách linh hoạt hơn: mỗi từ có thể nhìn sang những từ quan trọng khác trong cả câu, thay vì chỉ đi tuần tự từng bước → trở thành nền móng kỹ thuật cho GPT, BERT và toàn bộ làn sóng LLM sau đó. AI IN ACTION - HACKATHON",2026-07-29T02:06:00+00:00
